id;nom;description
1;Fiction;"default description"
2;Psychology;"default description"
3;Juvenile Fiction;"default description"
4;Social Science;"default description"
5;Biography & Autobiography;"default description"
6;Medical;"default description"
7;Literary Criticism;"default description"
8;Literary Collections;"default description"
9;Language Arts & Disciplines;"default description"
10;History;"default description"
11;Political Science;"default description"
12;Comics & Graphic Novels;"default description"
13;Religion;"default description"
14;Education;"default description"
15;Performing Arts;"default description"
16;Law;"default description"
17;Business & Economics;"default description"
18;Philosophy;"default description"
19;Citizenship;"default description"
20;Computers;"default description"
21;Architecture;"default description"
22;Poetry;"default description"
23;Science;"default description"
24;Foreign Language Study;"default description"
25;Art;"default description"
26;Body, Mind & Spirit;"default description"
27;Drama;"default description"
28;Travel;"default description"
29;Nature;"default description"
30;Reference;"default description"
31;Ecotourism;"default description"
32;Technology & Engineering;"default description"
33;Sports & Recreation;"default description"
34;Young Adult Nonfiction;"default description"
35;Juvenile Nonfiction;"default description"
36;Family & Relationships;"default description"
37;Games & Activities;"default description"
38;Cooking;"default description"
39;Self-Help;"default description"
40;Music;"default description"
41;Young Adult Fiction;"default description"
42;Africa;"default description"
43;Women, Kabyle;"default description"
44;Economic development;"default description"
45;Tunisia;"default description"
46;Humor;"default description"
47;House & Home;"default description"
48;Health & Fitness;"default description"
49;Mathematics;"default description"
50;Bibles;"default description"
51;Study Aids;"default description"
