id;titre;auteur;prix;synopsis;edition;annee_publication;editeur;url_image;stock
1;"Double faute";"Adolphe Chenevière";3.49;"LE rideau se leva ; une scène toute mignonne apparut, représentant un boudoir Louis XVI, et, dans l’immense orangerie, transformée en salle de théâtre, un murmure de satisfaction discrète courut avec un bruit léger d’éventails qui se ferment, tandis que Mlle Renée de Simont, une vraie soubrette de Dancourt ou de Marivaux, jetait ces mots, de sa jeune voix claire et un peu tremblante : « Monsieur le marquis est attendu ce soir au château. Fruit d’une sélection réalisée au sein des fonds de la Bibliothèque nationale de France, Collection XIX a pour ambition de faire découvrir des textes classiques et moins classiques dans les meilleures éditions du XIXe siècle.";1;2016;"Collection XIX";"content?id=EacoDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";50
2;"Le sujet et son double";"Johann Jung";17.99;"Par quels processus un sujet parvient-il à construire son identité, autrement dit à « exister » psychiquement au cours de sa vie ? En quoi le double permet-il d’éclairer la problématique de l’identité ? Quel est son rôle dans la formation de la subjectivité ? Ce livre présente les fondements d’une approche renouvelée des problématiques narcissiques et identitaires à partir de trois notions clés qui travaillent ensemble de façon complexe : l’identité, la réflexivité et le double. Si, concrètement, ces formes de souffrance témoignent d’une perturbation plus ou moins profonde de l’identité, l’étude de ces troubles conduit à creuser les modalités par lesquelles un sujet parvient à s’éprouver et se penser lui-même au cours du développement, d’abord à partir de l’objet investi comme double de soi puis au sein de son miroir intérieur. Ainsi, dans la lignée des travaux de D. W. Winnicott, l’auteur présente les éléments d’une théorie générale de l’identité à partir du concept de double transitionnel. À chaque étape de la construction identitaire, cette modalité intermédiaire du double sous-tend la trajectoire du « devenir sujet », depuis les formes archaïques de l’éprouvé de soi jusqu’aux formes élaborées du rapport à soi. Cet ouvrage s’adresse aux psychanalystes, aux psychologues, aux étudiants en psychologie, et, plus largement, à tous ceux qui s’intéressent à la genèse du lien humain, à l’énigme de l’identité et de la construction de soi.";1;2015;"Dunod";"content?id=LvBBCQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";60
3;"Mes quitte ou double";"Zappy Max";8.49;"Comme je l’ai fait à l’intention de mes fidèles auditeurs, pendant tant d’années, permettez-moi de vous saluer de mon traditionnel : « Chers amis... bonjour ! » En effet, je serais comblé si, en découvrant ces souvenirs, vous aviez l’impression d’entendre ma voix en train de vous les raconter. C’est pourquoi, en ma compagnie, je vous invite à entrer dans les coulisses des grandes émissions de « l’âge d’or de la radio » : le Crochet, et Reine d’un jour, les jeux : Quitte ou double, Magnéto-stop et Emportez-les avec vous etc., sans oublier mes feuilletons : Vas-y Zappy ou Ça va bouillir (le « tonneau » vous y attend). Suivez-moi dans les tournées du fabuleux orchestre de Jacques Hélian et du Radio-Circus. Pénétrez en ma compagnie dans les studios de cinéma. Rencontrez avec moi de nombreuses personnalités, telles que l’abbé Pierre ou l’académicien Maurice Genevoix, tous deux concurrents inattendus de mon jeu Quitte ou Double. Et encore Maurice Chevalier, Tino Rossi ou l’inénarrable Francis Blanche, ainsi que toutes les vedettes de l’écran et du théâtre, qui m’ont fait l’honneur d’être mes partenaires. Accompagnez-moi sans hésiter dans tous les challenges de ma vie privée, puisque je me suis promis de ne rien vous cacher. Ensemble, revivons les événements – heureux ou malheureux –, du XXe siècle, qu’ont été l’Occupation, le Service du Travail Obligatoire ou la Libération... Entre autres. Alors, j’en suis persuadé, la découverte de mes souvenirs terminée, nous serons devenus de vrais « copains ». Je vous fais la « bise »... à Zappy.";1;2008;"FeniXX";"content?id=jAcBEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";44
4;"Double nationalité";"Nina Yargekov";8.49;"'Vous vous réveillez dans un aéroport. Vous ne savez pas qui vous êtes ni où vous allez. Vous avez dans votre sac deux passeports et une lingette rince-doigts. Vous portez un diadème scintillant et vous êtes maquillée comme une voiture volée. Vous connaissez par cœur toutes les chansons d'Enrico Macias. Vous êtes une fille rationnelle. Que faites-vous ?'";1;2016;"POL Editeur";"content?id=Lfr2DAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";44
5;"Double Appel";"Kalvin Kay";4.99;"Fraîchement divorcée, Blanche doit repartir de zéro. A trente ans, cette jeune femme s'est toujours laissée porter par les décisions de son couple. Désormais mère célibataire, elle doit retrouver son indépendance et aller de l'avant. Lorsque som amie Fathi lui parle d'une annonce parue dans le journal, Blanche ne sait pas vraiment où elle met les pieds. Sa rencontre avec Alaric Prigent est aussi inattendue qu'inespérée. Directeur d'un service de téléphone rose, ce dernier lui donne une chance de reprendre sa vie en main. Blanche pénètre alors dans un univers déroutant où les inconnus se succèdent au bout du fil... Un enchaînement terne de sensualité qui sera brusquement interrompu par un appel... Un appel qui pourrait tout changer...";1;2017;"Black Ink Editions";"content?id=bW0uDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";0
6;"Double ennemi";"Claude Ecken";4.99;"Pour pouvoir s'entraîner aux sport en apesanteur, Xavier se fait discrètement cloner. Il est d'autant plus déterminé à faire de la compétition qu'Audrey, jeune championne, vient habiter dans sa ville. Mais vivre en deux exemplaires n'est pas facile quand il faut que chacun accorde ses violons. Les quiproquos s'enchaînent vite. Et surtout... Surtout, l'humeur du clone change. Au point que Xavier pourrait bien devenir le pire ennemi de Xavier !";1;2013;"Editions Armada";"content?id=8OceCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";66
7;"Double impact";"H.V. Gavriel";5.99;"Par l'autrice des Loups de Riverdance, la révélation bit-lit slash Les jumeaux Rutledge sont encore en train de gérer les retombées de la précédente enquête lorsqu'une explosion vient ébranler leur vie. Qui s'en prend à leurs amis ? Des mutants séparatistes ? Des activistes humains ? De fausses pistes en chausse-trappes, les voilà contraints de s'enfoncer dans les souterrains de la ville, à la recherche de la vérité. Dans ces endroits sombres et inquiétants, dans ce monde de pierre où vivent des fugitifs, des mutants sauvages, des noctys... et des monstres, comme celui qui hante encore leurs cauchemars. Parfois, poursuivre ses ennemis semble plus facile que d'affronter ses souvenirs, mais quand la mort rôde, il faut faire face. Kit et Kat retrouveront-ils le chemin de la surface, ou resteront-ils prisonniers des profondeurs ? « Un cocktail détonnant et plaisant ! » Romances, charmes et sortilèges";1;2021;"Milady";"content?id=WsgKEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";52
8;"Double JE";"Yan Robel";4.99;"Je ne sais pas trop comment vous raconter mon histoire. Elle est en même temps évidente et étonnamment compliquée. Peut-être que la plupart d'entre vous me prendront pour un fou ou un original. Mais, je ressens l'envie incontrôlable de coucher ces mots sur le papier et vous faire vivre le moment où ma vie s'est retrouvée totalement chamboulée. Toutes mes habitudes et toutes mes certitudes ont volé en éclats. J'ai dû me remettre en question et je suis maintenant une personne différente. Laissez-moi vous entraîner au tout début de cette aventure. Là où je n'étais encore qu'un homme macho, imbu de sa personne et obsédé par la gloire...";1;2016;"Butterfly Éditions";"content?id=8rwyDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";34
9;"Double reflet";"Danielle STEEL";12.99;"Pourtant leurs caractères sont très différents, contraires et complémentaires à la fois. Timide et sérieuse, Olivia, née onze minutes avant sa soeur, à joué le rôle de mère - celle-ci étant morte à leur naissance. C'est elle qui s'occupe de la maison, qui calme les ardeurs de sa jumelle, s'efforçant d'endiguer son exubérance et ses fantaisies. Indépendante et passionnée, Victoria voudrait changer le monde et est toujours prête à foncer. Lorsque Victoria tombe amoureuse d'un homme marié et que le scandale éclate, la vie des deux soeurs bascule. Pour sauver la réputation de sa fille, leur père la marie à un jeune veuf, avocat de talent, Charles Dawson, dont la femme a péri dans le naufrage du Titanic, le laissant seul avec un petit garçon. C'est pour donner une nouvelle mère à son fils que Charles a accepté ce mariage et aussi parce qu'il n'est pas insensible au charme de Victoria. Mais la jeune femme, qui rêve de partir sur le front en Europe - la Première Guerre mondiale a éclaté -, trouve Charles et le mariage bien ennuyeux... C'est alors que les jumelles vont oser une chose qu'elles seules pouvaient envisager : l'une rejoint les champs de bataille français tandis que l'autre se glisse dans un mariage qu'elle désirait ardemment mais qui ne lui était pas destiné. Réussiront-elles à aller au bout de leurs rêves? Quel sera le prix de leurs choix?";1;2013;"Presses de la Cité";"content?id=nXyvAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";9
10;"Le double jeu";"Jacques Caïn";12.99;"L'identité est un mot dont l'usage trop fréquent qui en a été fait a dilué le sens. C'est sans doute dans le registre de la psychanalyse que cette identité peut trouver une certaine place, encore fallait-il la préciser. L'auteur envisage ce terme d'abord dans la littérature analytique, chez Freud qui, très tôt (mais peut-être dans une autre direction), a parlé d'identité ; puis chez ses successeurs et, en particulier, dans les théories actuelles qui sont orientées autour de la notion de self. La clinique analytique permet ensuite de repérer certains aspects de cette identité, caractéristiques dont est rapporté aussi l'impact dans la psychanalyse appliquée à la littérature. Toute cette recherche est sous-tendue par l'implication même de l'analyste, et l'on pourrait dire qu'une telle étude est, en fin de compte, l'essai de préciser pour l'analyste, voire pour l'analyse, sa propre Identité. Perpétuelle oscillation défensive, entre le contenu émanant de la conscience, et le discontinu de la castration, l'identité apparaît non pas comme une nouvelle structure, mais comme une partie de l'organisation de l'appareil psychique. Ce qui, dans ce jeu, est double, c'est la perpétuelle alternance entre le même et le différent, le pareil et le dissemblable, le général et le particulier.";1;1977;"FeniXX";"content?id=n9dXDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api";23
