id;note;commentaire;date_publication;affiche;utilisateur_userp_id
1;6;Savings 24/365;2021-09-08T08:08:03;false;1
2;6;Chicken a;2021-09-07T17:50:26;false;1
3;7;navigate neural;2021-09-08T11:50:06;true;1
4;6;lime e-commerce;2021-09-07T16:24:13;false;1
5;5;Joubert b Cotton;2021-09-08T13:59:18;false;1
6;0;connect;2021-09-07T17:26:55;true;1
7;0;Superviseur a Baby;2021-09-07T18:31:06;true;1
8;3;interface Account Cotton;2021-09-08T08:47:18;false;1
9;5;c Avon;2021-09-08T01:58:24;false;1
10;5;Soft;2021-09-08T11:02:58;false;1
