id;titre;auteur;prix;synopsis;edition;annee_publication;editeur;url_image;stock
1;"Double faute";"Adolphe Chenevière";3.49;"LE rideau se leva ; une scène toute mignonne apparut, représentant un boudoir Louis XVI, et, dans l’immense orangerie, transformée en salle de théâtre, un murmure de satisfaction discrète courut avec un bruit léger d’éventails qui se ferment, tandis que Mlle Renée de Simont, une vraie soubrette de Dancourt ou de Marivaux, jetait ces mots, de sa jeune voix claire et un peu tremblante : « Monsieur le marquis est attendu ce soir au château. Fruit d’une sélection réalisée au sein des fonds de la Bibliothèque nationale de France, Collection XIX a pour ambition de faire découvrir des textes classiques et moins classiques dans les meilleures éditions du XIXe siècle.";1;2016;"Collection XIX";"eacodwaaqbaj.jpeg";42
2;"Les justiciers (Tome 3) - Une offre à double tranchant";"Zoë Archer";5.99;"Bronwyn Parrish a tout perdu à la mort de son mari. Elle envisage de trouver un emploi pour subsister lorsqu’elle reçoit la visite de l’énigmatique Marco, un agent de la Némésis. Cette organisation secrète qui lutte contre la corruption soupçonne de détournement de fonds Devere, l’homme qui a raflé les possessions de Bronwyn afin de rembourser les dettes de son défunt époux. Or la jeune femme est la seule à pouvoir identifier Devere qui s’est enfui en France. Il lui faut donc accompagner Marco. Tout d’abord réticente à s’en remettre à un total étranger, Bronwyn finit par se laisser entraîner dans l’aventure et, pour la première fois de sa vie, goûte à la saveur grisante de la liberté.";1;2015;"J'ai Lu";"kghicgaaqbaj.jpeg";22
3;"LE DOUBLE JEU";"Yves Hajos";2.99;"En 2006, nous déposons un permis de construire un immeuble à Cannes. La ville mondialement célèbre pour son Tapis Rouge. Pouvais-je imaginer qu'en mars 2009, le maire Adjoint à l'Urbanisme avait supprimé les mots Liberté Egalité Fraternité au profit de : 'Vous qui entrez dans mon bureau, oubliez toutes vos espérances'' Bienvenue dans le monde des politiciens pas si exemplaires. Des avocats qui exercent leur métier avec un dévouement pas si exemplaire. Des juges qui rendent une décision pas si exemplaire en 2021. Pénétrez, à votre tour, dans les coulisses de la mairie de Cannes et dans l'antre austère de l'Ordre des Avocats de Nice.";1;2021;"BoD - Books on Demand";"re4weaaaqbaj.jpeg";36
4;"Le double en traduction ou l’(impossible ?) entre-deux. Volume 2";"Michaël Mariaule";9.99;"Ce volume poursuit l’exploration du concept de « double » en traduction, entamée dans notre premier recueil consacré à cette thématique (Le double en traduction ou l’(impossible ?) entre-deux, vol. 1, APU, 2011). Certaines approches adoptées dans le premier volume sont ici complétées et approfondies, avec le cas spécifique de l’auto-traduction, l’étude du lien entre écrivain et traducteur ou encore la retraduction poétique. D’autres notions sont également abordées, comme l’intertextualité, l’étranger dans la langue ou la variation engendrée par le lectorat visé (anglais ou américain). Les articles ici réunis, mettant en jeu le couple de langues anglais-français, reflètent une diversité de points de vue et, par leur richesse, montrent à quel point l’idée de « double » en traduction est féconde, par les problèmes qu’elle met au jour, les interrogations qu’elle soulève, mais aussi par les ponts qu’elle établit avec les notions connexes d’« entre-deux », d’« hybridité » ou de « variabilité ». Le caractère spéculaire de la traduction est examiné sous des angles multiples, qui n’éludent en rien les déformations et écarts constitutifs de la traduction, le jeu et la souplesse indispensables à la création d’un texte, et sont le reflet de la complexité inhérente à cette activité.";1;2020;"Artois Presses Université";"53ftdwaaqbaj.jpeg";15
5;"Tais-toi et double";"Gilles Vervisch";10.99;"Pourquoi y a-t-il toujours des bouchons sur ma route à moi ? Et pourquoi suis-je le seul à savoir conduire ? Sur la route, on peut se laisser aller à toutes nos tendances : l'égoïsme, le sentiment de puissance, la haine des autres, la diplomatie ou la colère. La conduite automobile est révélatrice de notre existence en général. Et une philosophie du Code de la route, un bon moyen de faire de la philosophie tout court : la liberté, l'État, la morale, sont des notions abstraites qui deviennent très concrètes au coin d'un rond-point ou au détour d'un feu rouge. Voici le seul livre qui vous fera rire même lorsque vous aurez perdu tous vos points. Né en 1974 à Rouen, Gilles Vervisch est agrégé de philosophie et professeur en lycée. Il est l'auteur de Comment ai-je pu croire au Père Noël (2009) et De la tête aux pieds. Philosophie du football (2010).";1;2011;"Max Milo";"r-guza5cf18c.jpeg";28
6;"Double assassinat dans la rue Morgue";"Edgar Allan Poe";1.99;"«Sur une chaise, on trouva un rasoir mouillé de sang.» Dans Paris, un crime atroce défraye la chronique. Une mère et sa fille ont été sauvagement assassinées, leurs corps mutilés. Pourtant, aucun mobile ne semble expliquer un tel déchaînement de violence. Plus inconcevable encore : la pièce dans laquelle s’est déroulé le meurtre était verrouillée de l’intérieur... À travers son investigation, le chevalier Dupin fait triompher l’esprit rationnel en levant le voile sur un mystère en apparence insoluble. Servi par la prose ciselée d’Edgar Allan Poe, traduit par Charles Baudelaire, Double assassinat dans la rue Morgue est un classique du récit d'enquête. Double assassinat dans la rue Morgue est suivi du Mystère de Marie Roget. • Objet d’étude : La fiction pour interroger le réel • Dossier pédagogique spécial nouveaux programmes • Prolongement : Adapter un livre à l’écran : du policier au film noir Classe de quatrième.";1;2018;"J'ai Lu";"akdydwaaqbaj.jpeg";18
7;"BALZAC, une double biographie";"Théophile Gautier";5.99;"Balzac ! Tout le monde connaît Balzac mais que savons-nous vraiment de son existence et de ses rêves en ce milieu du XIXe siècle ? Tour à tour ermite en froc de bure ou dandy mondain, qui était ce roi des romanciers à sceptre de canne et qui régna alors un bref moment sur le Paris des Lettres ? Ecrivain prolifique à la plume de corbeau, rédacteur en chef de revues éphémères, businessman inventif, chercheur de trésors, planteur d’ananas... Combien d’épisodes chimériques dans cette vie de labeur incessant ? Qui était ce « sanglier joyeux », à la fois gourmet et gourmand, grand amateur de café et anti tabac, décorateur et collectionneur, choyé par les femmes et poursuivi par les créanciers ? Publiées en 1859 et rassemblées aujourd’hui en un seul ouvrage, 'Portrait intime de Balzac' par Edmond Werdet et 'Honoré de Balzac' par Théophile Gautier figurent parmi les premières biographies sur le grand écrivain. Elles fourmillent de faits et d’anecdotes et transportent le lecteur au coeur de l’existence d’un Balzac souvent méconnue et riche de fantaisie.";1;2014;"1000-ID-100-C";"898bcwaaqbaj.jpeg";22
8;"Vincent à double tour";"Norbert Régina";5.99;"Quels mobiles secrets poussent un homme à simuler sa propre mort ? Vincent Montfort, quarante-cinq ans, avocat, marié, père de famille, est censé être heureux. Il décide pourtant de disparaître. Pour refaire sa vie ? À sa façon, oui. Retiré dans un village de Corrèze, il semble rechercher une solitude à peine entamée par de discrets voisins. Déchargé de ses obligations, il contemple le ciel, parcourt la campagne à bicyclette, se plonge dans d'interminables lectures. C'était compter sans la mémoire, l'insidieuse mémoire. Les souvenirs, les regrets, les remords peut-être le hantent jusqu'au vertige. Qui est Léa, sa belle épouse aux amours singulières ? Et Philippe, son fils ombrageux ? Qui est Kitty, sa fille que la dépression conduit en clinique ; Antoine, son ami journaliste et archéologue ; ou Marie, cette femme autrefois aimée, et quittée ? La sarabande de ces visages empêche Vincent de savourer sa retraite. Souffrance et dérision enfantent le doute. Vincent s'est-il trompé en croyant qu'on peut renier le passé ? Poignante ou cocasse, l'enquête sera longue, qui le conduira de Nice à Paris, de Perpignan à Ajaccio, afin de se comprendre, de forcer les verrous qui l'enfermaient à double tour. En chemin, il perdra ses oeillères, sinon ses illusions. L'ironie du désespoir fera place à la sérénité.";1;1985;"FeniXX";"lsbydwaaqbaj.jpeg";10
9;"The double joining";"Dora Teddy Pabingui";9.99;"Daniel Carter quitte sa profession de professeur pour devenir inspecteur de police F.B.I. Sa première mission consiste à arrêter les B4B, un groupe de jeunes voleurs âgés de 17 à 21 ans qui utilise son génie en informatique pour prendre le contrôle des caméras de surveillance des boutiques. Son collègue, Hudson Ivan poursuit quant à lui Zender Alvaro, un mafieux farfelu de New York qui multiplie des trafics de drogue et d’armes nucléaires avec l’aide de son collaborateur Yens River. Zender Alvaro recrute les B4B pour renforcer les stratégies de son équipe en vue d’un transfert d’armes nucléaires vers le Moyen-Orient. La mission « The Double Joining » va permettre aux deux inspecteurs, Daniel Carter et Hudson Ivan, de s’allier pour confronter la nouvelle équipe Zender-B4B et détruire la mafia du général Marc Grayson, à l’origine de la transaction. Un parcours du combattant où intelligence artificielle et affrontements à mains armées seront nombreux.";1;2020;"Éditions Baudelaire";"pxpldwaaqbaj.jpeg";51
10;"Le double cadeau de Bailey - De dangereux sentiments";"Rachael Johns";5.99;"Le double cadeau de Bailey , Rachael Johns Une étreinte brûlante, insensée, interdite. Et voilà que Bailey se retrouve enceinte de jumeaux ! Désemparée, elle adresse un courrier anonyme au journal local de Jewell Rock, en quête de conseils. Dire ou ne pas dire à Quinn McKinnel qu’il va être papa, tel est son dilemme. Car l’homme qui lui a fait perdre la tête est un séducteur notoire, hostile à toute forme d’engagement. Mais, tandis que la réponse à sa lettre tarde à venir, Quinn lui parle soudain d’avenir et des projets qu’ils pourraient faire ensemble. Serait-il finalement l’homme de sa vie ? C’est ce que Bailey espère de tout son cœur, avant de découvrir le terrible secret que lui cache Quinn... De dangereux sentiments, Sheri Whitefeather Demander à Max – son meilleur ami et le fantasme de toute une vie – de l’épouser ? Bien que réticente à cette idée, Lizzie sait qu’elle n’a plus le choix. Car pour pouvoir adopter Tokoni, ce petit garçon de cinq ans qu’elle aime déjà comme son propre fils, il faut qu’elle soit mariée... Mais demander un tel service à Max, n’est-ce pas prendre un double risque ? Celui d’un refus ou, pire encore, celui d’un assentiment qui brouillerait totalement les limites entre eux...";1;2018;"Harlequin";"45hndwaaqbaj.jpeg";0
