livre_id;livre_cat_id
1;1
2;2
3;1
4;1
5;1
6;3
7;1
8;1
9;1
10;4
11;1
12;1
13;1
14;5
15;6
16;1
17;4
18;7
19;3
20;8
21;9
22;1
23;5
24;1
25;1
26;1
27;1
28;1
29;1
30;10
31;10
32;1
33;1
34;11
35;11
36;12
37;1
38;12
39;1
40;1
41;13
42;1
43;14
44;4
45;5
46;4
47;10
48;1
49;12
50;15
51;1
52;12
53;5
54;4
55;12
56;16
57;1
58;7
59;7
60;4
61;1
62;3
63;17
64;1
65;1
66;1
67;1
68;6
69;5
70;3
71;3
72;9
73;12
74;4
75;12
76;18
77;12
78;2
79;4
80;1
81;8
82;1
83;4
84;1
85;19
86;1
87;1
88;12
89;1
90;12
91;7
92;8
93;12
94;1
95;12
96;12
97;1
98;12
99;3
100;1
101;12
102;2
103;3
104;1
105;16
106;2
107;1
108;3
109;2
110;14
111;1
112;10
113;7
114;16
115;12
116;7
117;2
118;19
119;3
120;20
121;1
122;11
123;1
124;3
125;10
126;20
127;12
128;4
129;11
130;2
131;3
132;4
133;21
134;8
135;1
136;1
137;1
138;9
139;3
140;22
141;1
142;1
143;7
144;3
145;22
146;7
147;1
148;22
149;4
150;1
151;1
152;3
153;1
154;1
155;23
156;8
157;19
158;8
159;1
160;2
161;1
162;1
163;8
164;7
165;1
166;1
167;4
168;7
169;23
170;19
171;8
172;7
173;1
174;10
175;1
176;4
177;7
178;1
179;1
180;7
181;19
182;3
183;12
184;4
185;4
186;4
187;4
188;7
189;24
190;1
191;1
192;1
193;20
194;1
195;1
196;5
197;25
198;25
199;25
200;21
201;21
202;25
203;4
204;10
205;25
206;26
207;21
208;27
209;1
210;1
211;26
212;1
213;26
214;10
215;21
216;21
217;25
218;13
219;26
220;8
221;4
222;4
223;13
224;21
225;10
226;21
227;10
228;28
229;1
230;10
231;1
232;1
233;10
234;1
235;1
236;1
237;1
238;29
239;10
240;21
241;2
242;1
243;7
244;21
245;10
246;4
247;1
248;21
249;26
250;10
251;10
252;1
253;1
254;13
255;10
256;10
257;25
258;10
259;5
260;1
261;1
262;4
263;1
264;23
265;4
266;29
267;1
268;1
269;1
270;1
271;14
272;10
273;1
274;1
275;1
276;15
277;19
278;1
279;30
280;1
281;4
282;1
283;10
284;1
285;4
286;10
287;1
288;26
289;10
290;25
291;10
292;4
293;2
294;3
295;3
296;1
297;3
298;31
299;3
300;1
301;12
302;12
303;12
304;1
305;1
306;1
307;1
308;3
309;1
310;3
311;1
312;1
313;15
314;3
315;10
316;32
317;22
318;1
319;1
320;10
321;33
322;22
323;1
324;1
325;1
326;1
327;1
328;21
329;3
330;3
331;7
332;10
333;27
334;1
335;13
336;3
337;1
338;3
339;5
340;1
341;4
342;3
343;1
344;33
345;1
346;1
347;12
348;1
349;1
350;1
351;1
352;3
353;7
354;1
355;1
356;21
357;3
358;1
359;21
360;1
361;7
362;16
363;3
364;1
365;1
366;1
367;1
368;34
369;1
370;22
371;35
372;12
373;36
374;23
375;10
376;5
377;23
378;37
379;1
380;19
381;1
382;11
383;12
384;3
385;1
386;1
387;20
388;1
389;38
390;3
391;19
392;22
393;38
394;1
395;4
396;34
397;1
398;1
399;39
400;1
401;1
402;39
403;1
404;22
405;21
406;1
407;21
408;27
409;1
410;9
411;1
412;40
413;1
414;3
415;7
416;4
417;12
418;12
419;3
420;12
421;1
422;1
423;1
424;3
425;27
426;4
427;12
428;12
429;1
430;3
431;1
432;10
433;1
434;37
435;4
436;16
437;23
438;16
439;30
440;23
441;40
442;1
443;1
444;13
445;34
446;1
447;3
448;9
449;10
450;1
451;3
452;3
453;7
454;22
455;1
456;3
457;3
458;10
459;1
460;1
461;1
462;3
463;3
464;1
465;39
466;1
467;10
468;12
469;7
470;1
471;1
472;1
473;23
474;12
475;1
476;23
477;7
478;12
479;1
480;1
481;21
482;19
483;5
484;36
485;5
486;3
487;1
488;1
489;1
490;1
491;1
492;1
493;13
494;41
495;4
496;11
497;34
498;37
499;42
500;37
501;43
502;44
503;45
504;37
505;6
506;2
507;4
508;11
509;4
510;22
511;15
512;2
513;37
514;11
515;4
516;15
517;2
518;37
519;37
520;4
521;21
522;4
523;4
524;4
525;29
526;4
527;4
528;4
529;34
530;21
531;37
532;15
533;27
534;4
535;37
536;21
537;15
538;13
539;15
540;37
541;26
542;15
543;4
544;27
545;27
546;15
547;11
548;15
549;4
550;4
551;1
552;37
553;4
554;6
555;4
556;32
557;10
558;24
559;37
560;32
561;37
562;6
563;4
